"","plot_id","site_code","trt","year","block","plot","bray","turnover","nestedness"
"bray127","cereep.fr_Control_2017_3_21","cereep.fr","Control","2017","3","21",0.422885572139304,0.408163265306122,0.014722306833181
"bray128","cereep.fr_Control_2019_3_21","cereep.fr","Control","2019","3","21",0.52258064516129,0.439393939393939,0.0831867057673509
"bray129","cereep.fr_Control_2020_3_21","cereep.fr","Control","2020","3","21",0.502439024390244,0.43956043956044,0.0628785848298043
"bray130","cereep.fr_NPK_2014_3_28","cereep.fr","NPK","2014","3","28",0.358024691358025,0.324675324675325,0.0333493666827
"bray131","cereep.fr_NPK_2015_3_28","cereep.fr","NPK","2015","3","28",0.236111111111111,0.0909090909090909,0.14520202020202
"bray132","cereep.fr_NPK_2016_3_28","cereep.fr","NPK","2016","3","28",0.206477732793522,0.100917431192661,0.105560301600862
"bray133","cereep.fr_NPK_2017_3_28","cereep.fr","NPK","2017","3","28",0.411764705882353,0.396551724137931,0.0152129817444219
"bray134","cereep.fr_NPK_2019_3_28","cereep.fr","NPK","2019","3","28",0.494252873563218,0.177570093457944,0.316682780105274
"bray135","cereep.fr_NPK_2020_3_28","cereep.fr","NPK","2020","3","28",0.387096774193548,0.337209302325581,0.049887471867967
"bray136","chilcas.ar_Control_2013_1_ 5","chilcas.ar","Control","2013","1"," 5",0.133250311332503,0.118987341772152,0.0142629695603512
"bray137","chilcas.ar_Control_2014_1_ 5","chilcas.ar","Control","2014","1"," 5",0.131339401820546,0.116402116402116,0.0149372854184298
"bray138","chilcas.ar_Control_2015_1_ 5","chilcas.ar","Control","2015","1"," 5",0.26860025220681,0.194444444444444,0.0741558077623651
"bray139","chilcas.ar_Control_2016_1_ 5","chilcas.ar","Control","2016","1"," 5",0.143246930422919,0.0278637770897833,0.115383153333136
"bray140","chilcas.ar_NPK_2013_1_ 8","chilcas.ar","NPK","2013","1"," 8",0.472,0.319587628865979,0.152412371134021
"bray141","chilcas.ar_NPK_2014_1_ 8","chilcas.ar","NPK","2014","1"," 8",0.456159822419534,0.435483870967742,0.0206759514517919
"bray142","chilcas.ar_NPK_2015_1_ 8","chilcas.ar","NPK","2015","1"," 8",0.273209549071618,0.0866666666666667,0.186542882404951
"bray143","chilcas.ar_NPK_2016_1_ 8","chilcas.ar","NPK","2016","1"," 8",0.0586701434159061,0.010958904109589,0.0477112393063171
"bray144","chilcas.ar_Control_2013_2_20","chilcas.ar","Control","2013","2","20",0.189542483660131,0.0570342205323194,0.132508263127811
"bray145","chilcas.ar_Control_2014_2_20","chilcas.ar","Control","2014","2","20",0.0562091503267974,0.0269541778975741,0.0292549724292233
"bray146","chilcas.ar_Control_2015_2_20","chilcas.ar","Control","2015","2","20",0.403087478559177,0.00571428571428571,0.397373192844891
"bray147","chilcas.ar_Control_2016_2_20","chilcas.ar","Control","2016","2","20",0.104972375690608,0.0847457627118644,0.0202266129787433
"bray148","chilcas.ar_NPK_2015_3_26","chilcas.ar","NPK","2015","3","26",0.191011235955056,0.1,0.0910112359550562
"bray149","chilcas.ar_NPK_2016_3_26","chilcas.ar","NPK","2016","3","26",0.0985915492957746,0.0447761194029851,0.0538154298927896
"bray150","chilcas.ar_Control_2013_3_29","chilcas.ar","Control","2013","3","29",0.820224719101124,0.771428571428571,0.0487961476725522
"bray151","chilcas.ar_Control_2014_3_29","chilcas.ar","Control","2014","3","29",0.485365853658537,0.477722772277228,0.00764308138130886
"bray152","chilcas.ar_Control_2015_3_29","chilcas.ar","Control","2015","3","29",0.446345256609642,0.282258064516129,0.164087192093513
"bray153","chilcas.ar_Control_2016_3_29","chilcas.ar","Control","2016","3","29",0.571251548946716,0.527322404371585,0.0439291445751315
"bray154","frue.ch_NPK_2008_1_ 8","frue.ch","NPK","2008","1"," 8",0.386666666666667,0.349056603773585,0.0376100628930818
"bray155","frue.ch_NPK_2009_1_ 8","frue.ch","NPK","2009","1"," 8",0.287037037037037,0.237623762376238,0.0494132746607994
"bray156","frue.ch_NPK_2010_1_ 8","frue.ch","NPK","2010","1"," 8",0.406896551724138,0.300813008130081,0.106083543594057
"bray157","frue.ch_NPK_2011_1_ 8","frue.ch","NPK","2011","1"," 8",0.218604651162791,0.214953271028037,0.00365138013475331
"bray158","frue.ch_NPK_2012_1_ 8","frue.ch","NPK","2012","1"," 8",0.448529411764706,0.440298507462687,0.00823090430201931
"bray159","frue.ch_Control_2008_1_10","frue.ch","Control","2008","1","10",0.37962962962963,0.355769230769231,0.0238603988603989
"bray160","frue.ch_Control_2009_1_10","frue.ch","Control","2009","1","10",0.384615384615385,0.309090909090909,0.0755244755244755
"bray161","frue.ch_Control_2010_1_10","frue.ch","Control","2010","1","10",0.467213114754098,0.449152542372881,0.018060572381217
"bray162","frue.ch_Control_2011_1_10","frue.ch","Control","2011","1","10",0.518867924528302,0.514285714285714,0.0045822102425876
"bray163","frue.ch_Control_2012_1_10","frue.ch","Control","2012","1","10",0.247457627118644,0.244897959183673,0.0025596679349706
"bray164","frue.ch_NPK_2008_2_12","frue.ch","NPK","2008","2","12",0.463636363636364,0.41,0.0536363636363636
"bray165","frue.ch_NPK_2009_2_12","frue.ch","NPK","2009","2","12",0.409691629955947,0.361904761904762,0.0477868680511852
"bray166","frue.ch_NPK_2010_2_12","frue.ch","NPK","2010","2","12",0.385245901639344,0.375,0.0102459016393443
"bray167","frue.ch_NPK_2011_2_12","frue.ch","NPK","2011","2","12",0.387755102040816,0.358974358974359,0.0287807430664574
"bray168","frue.ch_NPK_2012_2_12","frue.ch","NPK","2012","2","12",0.380597014925373,0.201923076923077,0.178673938002296
"bray169","frue.ch_Control_2008_2_17","frue.ch","Control","2008","2","17",0.459227467811159,0.382352941176471,0.0768745266346882
"bray170","frue.ch_Control_2009_2_17","frue.ch","Control","2009","2","17",0.419354838709677,0.307692307692308,0.11166253101737
"bray171","frue.ch_Control_2010_2_17","frue.ch","Control","2010","2","17",0.371681415929204,0.336448598130841,0.0352328177983624
"bray172","frue.ch_Control_2011_2_17","frue.ch","Control","2011","2","17",0.3203125,0.186915887850467,0.133396612149533
"bray173","frue.ch_Control_2012_2_17","frue.ch","Control","2012","2","17",0.615384615384615,0.557522123893805,0.0578624914908101
"bray174","frue.ch_NPK_2008_3_25","frue.ch","NPK","2008","3","25",0.305084745762712,0.203883495145631,0.101201250617081
"bray175","frue.ch_NPK_2009_3_25","frue.ch","NPK","2009","3","25",0.464285714285714,0.444444444444444,0.0198412698412698
"bray176","frue.ch_NPK_2010_3_25","frue.ch","NPK","2010","3","25",0.561752988047809,0.46078431372549,0.100968674322319
"bray177","frue.ch_NPK_2011_3_25","frue.ch","NPK","2011","3","25",0.516728624535316,0.380952380952381,0.135776243582935
